sample_idx,closest_family,real_label,pred_label,min_distance,min_anomaly_score
0,0,0,0,5.5546956062316895,0.5713180929037229
1,0,0,0,5.5546956062316895,0.5713180929037229
2,0,0,0,5.5546956062316895,0.5713180929037229
3,0,0,0,5.5546956062316895,0.5713180929037229
4,0,0,0,5.5546956062316895,0.5713180929037229
5,0,0,0,5.5546956062316895,0.5713180929037229
6,0,0,0,5.5546956062316895,0.5713180929037229
7,0,0,0,5.5546956062316895,0.5713180929037229
8,0,0,0,5.5546956062316895,0.5713180929037229
9,0,0,0,5.5546956062316895,0.5713180929037229
10,0,0,0,5.5546956062316895,0.5713180929037229
11,0,0,0,5.5546956062316895,0.5713180929037229
12,0,0,0,5.5546956062316895,0.5713180929037229
13,0,0,0,5.5546956062316895,0.5713180929037229
14,0,0,0,5.5546956062316895,0.5713180929037229
15,0,0,0,5.5546956062316895,0.5713180929037229
16,1,1,1,11.547554016113281,0.056975632419901674
17,0,0,0,4.90976619720459,0.8446849629751848
18,2,2,2,13.634490966796875,0.720841441872804
19,2,2,2,4.838949203491211,1.000654751553272
20,2,2,2,9.568865776062012,0.0748978631176352
21,1,1,1,23.335596084594727,2.1420935589547563
22,0,0,0,5.5546956062316895,0.5713180929037229
23,0,0,0,5.5546956062316895,0.5713180929037229
24,0,0,0,8.51223373413086,0.6822965350296647
25,0,0,0,8.51223373413086,0.6822965350296647
26,0,0,0,8.51223373413086,0.6822965350296647
27,2,2,2,3.43230938911438,1.2759675817998832
28,2,2,2,2.404306650161743,1.477172106724273
29,0,0,0,5.5546956062316895,0.5713180929037229
30,0,0,0,4.90976619720459,0.8446849629751848
31,1,1,1,4.912601947784424,1.2947315375096733
32,0,0,0,5.5546956062316895,0.5713180929037229
33,1,1,1,16.997417449951172,0.9597009882545685
34,2,2,2,3.093471050262451,1.3422862368391046
35,2,2,2,2.692974090576172,1.4206729934633522
36,2,2,2,2.083831787109375,1.53989659388416
37,0,0,0,5.5546956062316895,0.5713180929037229
38,0,0,0,5.5546956062316895,0.5713180929037229
39,0,0,0,8.51223373413086,0.6822965350296647
40,0,0,0,5.5546956062316895,0.5713180929037229
41,0,0,0,5.5546956062316895,0.5713180929037229
42,0,0,0,5.5546956062316895,0.5713180929037229
43,1,1,1,21.775409698486328,1.8510394725711703
44,0,0,0,8.51223373413086,0.6822965350296647
45,1,1,1,16.413803100585938,0.8508272390876228
46,0,0,0,5.5546956062316895,0.5713180929037229
47,0,0,0,5.5546956062316895,0.5713180929037229
48,0,0,0,5.5546956062316895,0.5713180929037229
49,0,0,0,5.5546956062316895,0.5713180929037229
50,0,0,0,5.5546956062316895,0.5713180929037229
51,0,0,0,5.5546956062316895,0.5713180929037229
52,0,0,0,5.5546956062316895,0.5713180929037229
53,0,0,0,5.5546956062316895,0.5713180929037229
54,0,0,0,5.5546956062316895,0.5713180929037229
55,0,0,0,5.5546956062316895,0.5713180929037229
56,5,0,0,8.061483383178711,0.6451995651919257
57,5,0,0,8.061483383178711,0.6451995651919257
58,5,0,0,8.061483383178711,0.6451995651919257
59,2,1,1,33.373870849609375,4.130409912338693
60,4,2,2,29.374237060546875,3.8658907414769432
61,0,0,0,5.5546956062316895,0.5713180929037229
62,2,2,2,5.329099178314209,0.9047207728885452
63,5,2,1,12.956028938293457,0.5186525700125652
64,0,0,0,4.90976619720459,0.8446849629751848
65,0,0,0,4.90976619720459,0.8446849629751848
