sample_idx,real_label,pred_label,closest_label,is_drift,pred_prob,min_distance,min_anomaly_score
0,2,2,2,Y,0.9999971389770508,13.797962188720703,0.6851098081432253
1,2,2,2,Y,0.9999996423721313,6.837246417999268,0.8482422903472489
2,2,2,2,Y,0.9999996423721313,6.837246417999268,0.8482422903472489
3,3,3,3,Y,0.9988471269607544,6.651155948638916,0.42763001302991943
4,3,3,3,Y,0.9943457245826721,7.601770877838135,0.2758227206672192
5,3,3,3,Y,0.9993478655815125,12.701014518737793,0.2110021280546901
6,2,2,2,Y,0.9999990463256836,17.351537704467773,1.4679147169623072
7,2,2,2,Y,0.9999997615814209,11.1641845703125,0.10492400956048922
8,3,3,3,Y,0.999724805355072,13.643298149108887,0.4207927204069886
9,3,3,3,Y,0.9987165927886963,6.860475063323975,0.015347469462054699
10,3,3,3,Y,0.9989942908287048,7.826241970062256,0.8743201545436063
11,3,3,3,Y,0.9994915723800659,11.013800621032715,0.04631410520732938
12,3,3,3,Y,0.9998652935028076,14.384057998657227,0.5857159373860884
13,3,3,3,Y,0.9983704686164856,6.973883628845215,0.16242217352395663
14,0,0,0,Y,0.999954104423523,3.5331218242645264,0.8041863580696486
15,3,3,3,Y,0.9993478655815125,12.701014518737793,0.2110021280546901
16,3,3,3,Y,0.9999872446060181,39.60506820678711,6.200936982110236
17,3,3,3,Y,0.9977917671203613,5.4389142990112305,0.41928242105780306
18,3,3,3,Y,0.9993465542793274,5.586183547973633,0.5146941068336628
19,3,3,3,Y,0.9994632601737976,5.328291893005371,0.5084295868040688
20,3,3,3,Y,0.9996111989021301,7.207883834838867,1.0119917804672025
21,3,3,3,Y,0.9993315935134888,4.720570087432861,0.5558318018814197
22,2,2,2,Y,1.0,11.273512840270996,0.129007557529841
23,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
24,2,2,2,Y,0.9999583959579468,8.048233032226562,0.5814782207698405
25,2,2,2,Y,0.9999432563781738,6.498532772064209,0.922856352591605
26,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
27,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
28,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
29,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
30,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
31,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
32,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
33,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
34,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
35,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
36,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
37,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
38,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
39,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
40,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
41,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
42,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
43,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
44,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
45,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
46,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
47,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
48,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
49,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
50,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
51,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
52,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
53,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
54,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
55,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
56,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
57,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
58,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
59,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
60,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
61,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
62,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
63,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
64,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
65,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
66,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
67,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
68,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
69,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
70,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
71,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
72,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
73,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
74,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
75,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
76,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
77,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
78,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
79,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
80,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
81,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
82,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
83,0,0,0,Y,0.999966025352478,5.505740165710449,0.03326535432100564
