sample_idx,real_label,pred_label,pred_prob
331,0,1,0.6519214510917664
11352,0,1,0.6497560739517212
13249,3,0,0.9999133348464966
13250,3,0,0.9999115467071533
13251,3,0,0.9999141693115234
13252,3,0,0.9999167919158936
13253,3,0,0.999913215637207
13254,3,0,0.9999098777770996
13255,3,0,0.9999086856842041
13256,3,0,0.9999086856842041
13257,3,0,0.9998892545700073
13258,3,0,0.9998992681503296
13259,3,0,0.9999076128005981
13260,3,0,0.9999194145202637
13261,3,0,0.9999117851257324
13262,3,0,0.9999055862426758
13263,3,0,0.9999189376831055
13264,3,0,0.9999082088470459
13265,3,0,0.9999129772186279
13266,3,0,0.999901533126831
13267,3,0,0.9999109506607056
13268,3,0,0.9999115467071533
13269,3,0,0.9999034404754639
13270,3,0,0.9999135732650757
13271,3,0,0.9999042749404907
13272,3,0,0.9998869895935059
13273,3,0,0.9999070167541504
13274,3,0,0.9998944997787476
13275,3,0,0.9999128580093384
13276,3,0,0.9999076128005981
13277,3,0,0.9999083280563354
13278,3,0,0.9999032020568848
13279,3,0,0.9999170303344727
13280,3,0,0.9998944997787476
13281,3,0,0.9999039173126221
13282,3,0,0.9999125003814697
13283,3,0,0.9999182224273682
13284,3,0,0.9998871088027954
13285,3,0,0.9999134540557861
13286,3,0,0.9999057054519653
13287,3,0,0.9999111890792847
13288,3,0,0.9998950958251953
13289,3,0,0.9999150037765503
13290,3,0,0.9999082088470459
13291,3,0,0.9999207258224487
13292,3,0,0.9999125003814697
13293,3,0,0.9999068975448608
13294,3,0,0.999908447265625
13295,3,0,0.9999054670333862
13296,3,0,0.9998966455459595
13297,3,0,0.9999072551727295
13298,3,0,0.9999082088470459
13299,3,0,0.9999097585678101
13300,3,0,0.9999195337295532
13301,3,0,0.9999188184738159
13302,3,0,0.9999215602874756
13303,3,0,0.9999121427536011
13304,3,0,0.9999150037765503
13305,3,0,0.9999091625213623
13306,3,0,0.9999200105667114
13307,3,0,0.9999105930328369
13308,3,0,0.9999105930328369
13309,3,0,0.9999122619628906
13310,3,0,0.9999018907546997
13311,3,0,0.9999116659164429
13312,3,0,0.9999098777770996
13313,3,0,0.9999206066131592
13314,3,0,0.9999008178710938
13315,3,0,0.9999161958694458
13316,3,0,0.9999181032180786
13317,3,0,0.9998970031738281
13318,3,0,0.9999128580093384
13319,3,0,0.9998823404312134
13320,3,0,0.9999120235443115
13321,3,0,0.9999052286148071
13322,3,0,0.9999067783355713
13323,3,0,0.9999198913574219
13324,3,0,0.9999179840087891
13325,3,0,0.9999098777770996
13326,3,0,0.9999125003814697
13327,3,0,0.9999136924743652
13328,3,0,0.99991774559021
13329,3,0,0.999906063079834
13330,3,0,0.9999171495437622
13331,3,0,0.9999128580093384
13332,3,0,0.9999125003814697
13333,3,0,0.9999126195907593
13334,3,0,0.9999102354049683
13335,3,0,0.9999115467071533
13336,3,0,0.9999129772186279
13337,3,0,0.9999068975448608
13338,3,0,0.9998940229415894
13339,3,0,0.9999184608459473
13340,3,0,0.9999046325683594
13341,3,0,0.9999104738235474
13342,3,0,0.9999058246612549
13343,3,0,0.999903678894043
13344,3,0,0.9999178647994995
13345,3,0,0.9999148845672607
13346,3,0,0.9999184608459473
13347,3,0,0.9999099969863892
13348,3,0,0.9999195337295532
13349,3,0,0.9999083280563354
13350,3,0,0.9999206066131592
13351,3,0,0.9999074935913086
13352,3,0,0.9999009370803833
13353,3,0,0.9998942613601685
13354,3,0,0.9999197721481323
13355,3,0,0.9999048709869385
13356,3,0,0.9999175071716309
13357,3,0,0.9999059438705444
13358,3,0,0.9999097585678101
13359,3,0,0.9999099969863892
13360,3,0,0.9999204874038696
13361,3,0,0.9999107122421265
13362,3,0,0.9999134540557861
13363,3,0,0.9999029636383057
13364,3,0,0.9998906850814819
13365,3,0,0.9999148845672607
13366,3,0,0.9999076128005981
13367,3,0,0.9999204874038696
13368,3,0,0.9999011754989624
13369,3,0,0.999891996383667
13370,3,0,0.9999064207077026
13371,3,0,0.9999114274978638
13372,3,0,0.9998996257781982
13373,3,0,0.9999022483825684
13374,3,0,0.999895453453064
13375,3,0,0.9999136924743652
13376,3,0,0.9999136924743652
13377,3,0,0.9998953342437744
13378,3,0,0.9999109506607056
13379,3,0,0.9999086856842041
13380,3,0,0.9999184608459473
13381,3,0,0.9998874664306641
13382,3,0,0.9999110698699951
13383,3,0,0.9999110698699951
13384,3,0,0.9999047517776489
13385,3,0,0.999911904335022
13386,3,0,0.9999167919158936
13387,3,0,0.9999064207077026
13388,3,0,0.999902606010437
13389,3,0,0.9999096393585205
13390,3,0,0.9999213218688965
13391,3,0,0.9999182224273682
13392,3,0,0.9999121427536011
13393,3,0,0.9999188184738159
13394,3,0,0.9999191761016846
13395,3,0,0.9999217987060547
13396,3,0,0.9999121427536011
13397,3,0,0.9999054670333862
13398,3,0,0.9998910427093506
13399,3,0,0.999910831451416
13400,3,0,0.9998879432678223
13401,3,0,0.9999148845672607
13402,3,0,0.9999198913574219
13403,3,0,0.999903678894043
13404,3,0,0.9998922348022461
13405,3,0,0.999908447265625
13406,3,0,0.9999167919158936
13407,3,0,0.9999203681945801
13408,3,0,0.9999086856842041
13409,3,0,0.9999209642410278
13410,3,0,0.9999040365219116
13411,3,0,0.9999171495437622
13412,3,0,0.9998875856399536
13413,3,0,0.9999183416366577
13414,3,0,0.999910831451416
13415,3,0,0.9999212026596069
13416,3,0,0.9999154806137085
13417,3,0,0.9999111890792847
13418,3,0,0.9999102354049683
13419,3,0,0.9999212026596069
13420,3,0,0.9999005794525146
13421,3,0,0.9999191761016846
13422,3,0,0.9999016523361206
13423,3,0,0.9999057054519653
13424,3,0,0.9999109506607056
13425,3,0,0.9999184608459473
13426,3,0,0.9999169111251831
13427,3,0,0.9999164342880249
13428,3,0,0.9999152421951294
13429,3,0,0.9999120235443115
13430,3,0,0.9999039173126221
13431,3,0,0.9999165534973145
13432,3,0,0.9999109506607056
13433,3,0,0.9999034404754639
13434,3,0,0.9999083280563354
13435,3,0,0.9999115467071533
13436,3,0,0.9999116659164429
13437,3,0,0.9999102354049683
13438,3,0,0.9999206066131592
13439,3,0,0.9999145269393921
13440,3,0,0.9999046325683594
13441,3,0,0.9999117851257324
13442,3,0,0.9999090433120728
13443,3,0,0.9999147653579712
13444,3,0,0.9999034404754639
13445,3,0,0.9999115467071533
13446,3,0,0.9999064207077026
13447,3,0,0.999915599822998
13448,3,0,0.9999003410339355
13449,3,0,0.9999123811721802
13450,3,0,0.9999052286148071
13451,3,0,0.9998879432678223
13452,3,0,0.9998995065689087
13453,3,0,0.9998878240585327
13454,3,0,0.9998981952667236
13455,3,0,0.9998927116394043
13456,3,0,0.9999184608459473
13457,3,0,0.9999098777770996
