sample_idx,real_label,min_dis
51,3,34.13018798828125
163,3,30.852054595947266
204,3,30.852054595947266
162,2,27.56751251220703
212,2,25.550683975219727
23,2,21.722801208496094
211,2,21.629507064819336
194,3,21.131763458251953
41,2,20.940441131591797
136,2,20.165699005126953
27,2,20.120973587036133
124,2,19.86231231689453
35,2,19.856693267822266
233,2,19.761783599853516
9,2,19.76108169555664
10,2,19.76108169555664
232,2,19.72040367126465
192,3,19.70201873779297
24,2,19.00333023071289
234,2,18.906553268432617
146,2,18.324424743652344
190,3,17.81044578552246
235,2,17.74509620666504
215,2,17.6643009185791
209,2,17.275562286376953
255,2,17.275562286376953
258,2,17.275562286376953
284,2,17.275562286376953
295,2,17.275562286376953
631,2,16.627378463745117
230,2,16.379182815551758
0,2,15.827251434326172
148,2,15.827251434326172
253,2,15.827251434326172
587,2,15.827251434326172
217,2,15.699896812438965
203,2,15.351101875305176
296,2,14.929841995239258
199,3,14.574332237243652
290,2,14.436104774475098
119,2,14.132060050964355
216,2,12.771088600158691
46,3,12.743107795715332
189,3,12.743107795715332
603,2,12.719767570495605
6,2,12.637622833251953
57,2,12.283011436462402
17,3,12.150900840759277
207,2,11.95879077911377
369,2,11.844444274902344
29,3,11.843795776367188
181,3,11.729775428771973
121,3,11.698336601257324
516,2,11.45989990234375
517,2,11.45989990234375
519,2,11.45989990234375
26,2,11.398435592651367
42,2,11.398435592651367
3,2,11.036612510681152
19,3,11.014036178588867
2,2,10.769490242004395
294,2,10.723040580749512
355,3,10.646933555603027
224,2,10.620233535766602
231,2,10.594413757324219
8,2,10.482003211975098
498,2,10.477998733520508
518,2,10.477998733520508
520,2,10.477998733520508
602,2,10.477998733520508
346,2,10.34038257598877
183,3,10.339312553405762
166,3,10.337407112121582
159,0,10.309048652648926
160,0,10.309048652648926
161,0,10.309048652648926
302,0,10.309048652648926
375,0,10.309048652648926
412,0,10.309048652648926
413,0,10.309048652648926
423,0,10.309048652648926
424,0,10.309048652648926
425,0,10.309048652648926
430,0,10.309048652648926
435,0,10.309048652648926
436,0,10.309048652648926
437,0,10.309048652648926
438,0,10.309048652648926
443,0,10.309048652648926
444,0,10.309048652648926
445,0,10.309048652648926
446,0,10.309048652648926
447,0,10.309048652648926
448,0,10.309048652648926
449,0,10.309048652648926
487,0,10.309048652648926
488,0,10.309048652648926
495,0,10.309048652648926
496,0,10.309048652648926
497,0,10.309048652648926
499,0,10.309048652648926
506,0,10.309048652648926
507,0,10.309048652648926
508,0,10.309048652648926
564,0,10.309048652648926
576,0,10.309048652648926
577,0,10.309048652648926
578,0,10.309048652648926
581,0,10.309048652648926
582,0,10.309048652648926
585,0,10.309048652648926
586,0,10.309048652648926
604,0,10.309048652648926
606,0,10.309048652648926
607,0,10.309048652648926
608,0,10.309048652648926
614,0,10.309048652648926
617,0,10.309048652648926
618,0,10.309048652648926
619,0,10.309048652648926
176,3,10.233684539794922
288,2,10.176122665405273
256,2,10.049081802368164
22,3,9.907768249511719
59,2,9.8582181930542
25,2,9.830365180969238
193,2,9.749070167541504
354,3,9.67919635772705
198,3,9.653607368469238
667,7,9.622895240783691
259,2,9.593819618225098
36,2,9.473429679870605
37,2,9.473429679870605
205,3,9.469285011291504
298,2,9.400894165039062
299,2,9.400894165039062
300,2,9.400894165039062
320,2,9.400894165039062
12,2,9.358227729797363
197,3,9.337252616882324
195,3,9.268799781799316
60,2,9.161563873291016
291,2,9.108963966369629
11,3,9.10799789428711
689,7,9.08626651763916
14,0,8.803197860717773
32,3,8.796372413635254
43,3,8.796372413635254
174,2,8.76805591583252
34,3,8.521795272827148
715,7,8.472002029418945
644,7,8.453550338745117
726,7,8.453550338745117
735,7,8.453550338745117
741,7,8.453550338745117
764,7,8.453550338745117
4,3,8.449850082397461
191,3,8.431710243225098
20,3,8.41993522644043
38,3,8.404537200927734
40,3,8.360677719116211
50,3,8.360677719116211
688,7,8.330556869506836
692,7,8.330556869506836
709,7,8.330556869506836
720,7,8.330556869506836
745,7,8.330556869506836
761,7,8.330556869506836
765,7,8.330556869506836
661,7,8.319497108459473
662,7,8.319497108459473
732,7,8.319497108459473
184,3,8.233484268188477
48,3,8.147483825683594
47,3,8.144948959350586
7,2,8.116708755493164
713,7,8.10498046875
719,7,8.10498046875
727,7,8.10498046875
728,7,8.10498046875
768,7,8.10498046875
769,7,8.10498046875
420,6,8.08680534362793
39,3,8.056560516357422
180,3,8.05306339263916
772,7,7.939887523651123
681,7,7.939886569976807
737,7,7.939886569976807
653,7,7.9377241134643555
672,7,7.9377241134643555
675,7,7.9377241134643555
705,7,7.9377241134643555
122,3,7.921545028686523
